iter	Logloss
0	0.6927564936
1	0.6923533958
2	0.6919889244
3	0.691720531
4	0.6914682831
5	0.691197606
6	0.6909321845
7	0.6907025642
8	0.6904791247
9	0.6902646599
10	0.6900705931
11	0.6898972654
12	0.6897522406
13	0.6895222645
14	0.6893729028
15	0.6891890896
16	0.6889863001
17	0.6887594823
18	0.688564239
19	0.6883752134
20	0.6881772945
21	0.6880471794
22	0.6879344352
23	0.6877611313
24	0.6876708382
25	0.6875365737
26	0.6874280639
27	0.6872686094
28	0.6871564118
29	0.6870589689
30	0.6869615551
31	0.686865457
32	0.6867496267
33	0.6867058311
34	0.6866307864
35	0.6865347356
36	0.6864297738
37	0.6863650157
38	0.686267421
39	0.6861910111
40	0.6860713911
41	0.6860380011
42	0.6859892961
43	0.6859099782
44	0.6858671438
45	0.6858136594
46	0.6857466463
47	0.6856281293
48	0.6855905253
49	0.6855404807
50	0.6854938152
51	0.6854550317
52	0.6853805034
53	0.6852413231
54	0.6851863946
55	0.6851145764
56	0.6850761551
57	0.6850300333
58	0.6849819535
59	0.6849459078
60	0.6849066307
61	0.684847539
62	0.6848359816
63	0.6848167593
64	0.6847676109
65	0.6847516971
66	0.6846918058
67	0.6846490701
68	0.6846312842
69	0.6846201356
70	0.6845865211
71	0.6845526319
72	0.6845368004
73	0.6845200935
74	0.6845083501
75	0.6844709217
76	0.684452604
77	0.6844286986
78	0.6843967863
79	0.6843133944
80	0.684285869
81	0.6842046795
82	0.6841816374
83	0.6841185589
84	0.6840910314
85	0.6840507865
86	0.6840087856
87	0.6839861369
88	0.6839315775
89	0.6839281364
90	0.6838914953
91	0.6838476859
92	0.6837587425
93	0.6837410309
94	0.683696874
95	0.6836327831
96	0.6835868534
97	0.6835389418
98	0.68352261
99	0.683446841
100	0.6834274918
101	0.6833784632
102	0.6833328139
103	0.6833191919
104	0.6833191899
105	0.683307259
106	0.6832647422
107	0.6832486372
108	0.6832311334
109	0.6832067287
110	0.6831474916
111	0.6831372806
112	0.6831162214
113	0.6830731356
114	0.6830333611
115	0.6829691141
116	0.6829146693
117	0.6829014517
118	0.6828396651
119	0.6828060607
120	0.6827245572
121	0.6826974971
122	0.6826722575
123	0.6826457201
124	0.6826105347
125	0.6825899033
126	0.6825727144
127	0.6825067211
128	0.6825042023
129	0.6824870721
130	0.6824854312
131	0.6824304623
132	0.6824275297
133	0.68238965
134	0.6823415064
135	0.6823231661
136	0.6822446144
137	0.682240737
138	0.6822067505
139	0.6821761757
140	0.6821297298
141	0.6820872309
142	0.6820375628
143	0.6819890234
144	0.6819674118
145	0.6819589729
146	0.6819165515
147	0.6818523222
148	0.6818052963
149	0.6817847992
150	0.6817806741
151	0.6817336849
152	0.6817305338
153	0.681691136
154	0.6816850067
155	0.6816461792
156	0.6816289589
157	0.6816034805
158	0.6815630998
159	0.6815464378
160	0.6815208285
161	0.6814882768
162	0.6814831889
163	0.6814493071
164	0.6814069975
165	0.6813753716
166	0.6813426102
