iter	Passed	Remaining
0	111	33435
1	218	32522
2	336	33349
3	510	37741
4	694	40953
5	869	42595
6	997	41745
7	1131	41310
8	1250	40441
9	1411	40941
10	1554	40854
11	1786	42869
12	1909	42158
13	2073	42366
14	2191	41632
15	2236	39700
16	2350	39128
17	2484	38925
18	2617	38709
19	2755	38581
20	2881	38286
21	3016	38113
22	3149	37926
23	3282	37743
24	3423	37660
25	3569	37619
26	3704	37453
27	3796	36877
28	3933	36754
29	4074	36667
30	4199	36437
31	4338	36336
32	4500	36414
33	4668	36525
34	4825	36539
35	4996	36641
36	5155	36647
37	5315	36651
38	5476	36647
39	5634	36621
40	5812	36715
41	5983	36753
42	6141	36707
43	6288	36588
44	6420	36383
45	6537	36096
46	6650	35799
